2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[WriteFile.start] path: dms.pid, owner: , perm: -rw-r-----
2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[EnsureFile.start] path: dms.pid, owner: , perm: -rw-r-----
2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[EnsureFile.end] path: dms.pid, owner: , perm: -rw-r-----, err: <nil>
2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[WriteFile.end] path: dms.pid, owner: , perm: -rw-r-----, err: <nil>
2024-01-25 12:43:43 INFO caller=helper.go:66 dms.storage=connecting to storage, host: 10.186.56.59, port: 33063, user: root, schema: dms
2024-01-25 12:43:43 INFO caller=helper.go:61 dms.cronmanager=cron start
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:380.674µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:345.713µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:626.686µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'users' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:90.27µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:338.554µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:210.233µs; sql: SELECT * FROM `users` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:745.756µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'users' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:103.641µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:978.458µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:566.775µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'op_permissions' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:90.92µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:468.524µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:445.294µs; sql: SELECT * FROM `op_permissions` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:713.346µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'op_permissions' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:8.696839ms; sql: ALTER TABLE `op_permissions` MODIFY COLUMN `name` varchar(200); rowsAffected: 0; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:120.572µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:498.254µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:626.106µs; sql: SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'dms' AND table_name = 'op_permissions' AND index_name = 'idx_op_permissions_name'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:88.95µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:369.522µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:623.646µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'user_op_permissions' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:90.671µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:377.244µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:190.472µs; sql: SELECT * FROM `user_op_permissions` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:637.776µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'user_op_permissions' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:90.64µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:347.352µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:559.735µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'user_groups' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:90.721µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:325.613µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:256.123µs; sql: SELECT * FROM `user_groups` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:608.525µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'user_groups' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:3.988366ms; sql: ALTER TABLE `user_groups` MODIFY COLUMN `name` varchar(200); rowsAffected: 0; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:84.232µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:369.263µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:546.315µs; sql: SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'dms' AND table_name = 'user_groups' AND index_name = 'idx_user_groups_name'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:88.121µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:328.913µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:562.695µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'user_group_users' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:90.36µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:333.412µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:182.471µs; sql: SELECT * FROM `user_group_users` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:675.486µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'user_group_users' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:88.49µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:352.653µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:519.764µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'roles' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:96.46µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:341.913µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:238.783µs; sql: SELECT * FROM `roles` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:623.235µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'roles' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:15.066377ms; sql: ALTER TABLE `roles` MODIFY COLUMN `name` varchar(200); rowsAffected: 0; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:199.502µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:655.166µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:729.698µs; sql: SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'dms' AND table_name = 'roles' AND index_name = 'idx_roles_name'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:94.961µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:356.292µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:635.766µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'role_op_permissions' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:94.122µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:369.744µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:194.672µs; sql: SELECT * FROM `role_op_permissions` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:633.205µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'role_op_permissions' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:93.531µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:334.724µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:573.495µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'dms_configs' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:90.012µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:336.403µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:196.152µs; sql: SELECT * FROM `dms_configs` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:642.816µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'dms_configs' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:92.131µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:357.224µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:545.415µs; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'members' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:99.681µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:343.453µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:198.772µs; sql: SELECT * FROM `members` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:654.636µs; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'members' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:94.221µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:331.513µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:552.125µs; sql: SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'dms' AND table_name = 'members' AND index_name = 'project_user_id'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:85.14µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
